authors,year,title,meeting,location
"Chizinski, C. J., and M. P. Gruntorad",2022,Who's hunting turkeys in Nebraska? A walk through the numbers,Midwest and Southeast Deer and Wild Turkey Meeting,"Junction City, KS"
"Chizinski, C. J",2019,Nebraska Sportspersons Customer Research,Nebraska Game and Park Commissioner Meeting,"Nebraska City, NE"
"Graham, K. A., C. J. Chizinski, and M. Vrtiska",2018,"Waterfowl hunter ""survival"" in Nebraska",Nebraska Game and Parks Wildlife Division Meeting,"Gretna, NE"
"Chizinski, C. J., N. Price, M. P. Hinrichs, M. P. Gruntorad, K. L. Pope, and J. J. Fontaine.",2018,Better understanding sportspersons through license sales,Sportsperson Summit,"Nebraska City, NE"
"Graham, K. A., M. P. Hinrichs, and C. J. Chizinski",2018,Barriers to hunting by female anglers,Sportsperson Summit,"Nebraska City, NE"
"Chizinski, C. J",2018,Learning about people to better manage wildlife,Rainwater Basin Joint Venture Informational Seminar,"Grand Island, NE"
"Chizinski, C. J",2018,Learning about Nebraska sportspersons from license databases,Nebraska Game and Park Commissioner Meeting,"Columbus, NE"
"Chizinski, C. J., M. P. Vrtiska, and K. L. Decker",2016,Waterfowl hunter participation,Mississippi Flyway Council,"Louisville, Kentucky."
"Pope, K. L., J. J. Fontaine, and C. J. Chizinski",2016,Managing ecosystem services for sportspersons while managing sportspersons for ecosystem services, International Symposium on Society and Resource Management. ,"Houghton, MI"
"Bajer, P. B., C. J. Chizinski, T. Szela, J. Silbernagel, J. Osborne, and P. W. Sorensen.  ",2011,Developing and applying integrated pest management for invasive common carp in a system of interconnected lakes in Minnesota,72nd Midwest Fish and Wildlife Meeting,"Des Moines, IA"
"Huff, D., L. M. Miller, C. J. Chizinski, and B. Vondracek",2011,A simulated reciprocal transplant experiment: local adaptation in reintroduced populations of a native North American fish,141st Annual Meeting of the American Fisheries Society,"Seattle, WA"
"Chizinski, C. J., P. B. Bajer, and P. W. Sorensen",2011,Spring spawning movements of the common carp and northern pike in Minnesota,UNL's Water Center Spring Seminar Series,"Lincoln, NE"
"Chizinski, C. J., C. G. Huber, and K. L. Pope",2004,Bioenergetics model for the inland silverside,134th Annual Meeting of the American Fisheries Society,"Madison, WI"