role,institution,location,start_year,end_year
Associate Professor of Human Dimensions of Wildlife Management,"School of Natural Resources, University of Nebraska-Lincoln","Lincoln, NE",2019,current
Assistant Professor of Human Dimensions of Wildlife Management,"School of Natural Resources, University of Nebraska-Lincoln","Lincoln, NE",2015,2019
Research Assistant Professor of Human Dimensions of Wildlife Management,"Nebraska Cooperative Fish and Wildlife Research Unit, School of Natural Resources, University of Nebraska-Lincoln","Lincoln, NE",2013,2015
Post-doctoral Research Associate,"Nebraska Cooperative Fish and Wildlife Research Unit, School of Natural Resources, University of Nebraska-Lincoln","Lincoln, NE",2010,2013
Post-doctoral Research Associate,"Department of Fisheries, Wildlife, and Conservation Biology, University of Minnesota","Saint Paul, MN",2010,2013
Post-doctoral Research Associate,"Minnesota Cooperative Fish and Wildlife Research Unit, Department of Fisheries, Wildlife, and Conservation Biology, University of Minnesota","Saint Paul, MN",2007,2010
Graduate Teaching Assistant,"Department of Range, Wildlfie, and Fisheries Management, Texas Tech University","Lubbock, TX",2005,2007
Graduate Research Assistant,"Department of Range, Wildlfie, and Fisheries Management, Texas Tech University","Lubbock, TX",2002,2005
Research Associate,"Department of Agricultural and Applied Economics, Texas Tech University","Lubbock, TX",2002,2002
Graduate Research Assistant,"Department of Range, Wildlfie, and Fisheries Management, Texas Tech University","Lubbock, TX",2000,2002